domain,logo_url,filename,status,message
culliganreno.com,https://culliganreno.com/wp-content/uploads/2025/03/culligan-red-rock.webp,culliganreno_com_1751575025.png,success,img-header-logo | Downloaded. hash=c973ceb33aae5622cfaa536afa4eea15
shelterstation.com.au,https://shelterstation.com.au/wp-content/uploads/2021/12/logo-160x126.png,shelterstation_com_au_1751575030.png,success,img-header-logo | Downloaded. hash=db7ae699e0463d9b54892838c6d6922f
actemium.ch,https://www.actemium.ch/app/uploads/sites/174/2021/10/logo-actemium-1.png,actemium_ch_1751575030.png,success,img-header-logo | Downloaded. hash=41efdaa3f03ed95f73dbba97fc9b771b
honda-rennes.com,https://www.honda-rennes.com/images/logo-honda-auto_blanc.svg,honda-rennes_com_1751575032.svg,success,img-header-logo | SVG URL downloaded. hash=bc3a88a01056d67a601a2fec5b8da54e
experian.com.my,https://www.experian.com.my/wp-content/themes/content-hub/images/experian_full_colour.svg,experian_com_my_1751575033.svg,success,img-header-logo | SVG URL downloaded. hash=547e23a1800c57fd2583b90a2aff2c29
honda-toulouse.com,https://www.honda-toulouse.com/images/logo-honda-auto_blanc.svg,honda-rennes_com_1751575032.svg,success,img-header-logo | SVG URL downloaded. hash=bc3a88a01056d67a601a2fec5b8da54e
eurofinsfoodtesting.com,https://eurofinsfoodtesting.com/resources/images/logo-eurofins.png,eurofinsfoodtesting_com_1751575036.png,success,img-header-logo | Downloaded. hash=a4a68296f1db91c69b5b9ad9318c0473
stockco.co.nz,https://stockco.co.nz/wp-content/themes/stockco/images/stockco-logo-1.png,stockco_co_nz_1751575041.png,success,img-header-logo | Downloaded. hash=a1468405a1eb4879f29870cc667aa4a0
toyota-innviertel.at,https://www.toyota.at/etc.clientlibs/dxp-frontend-core/clientlibs/clientlib-toyota/resources/images/favicons/apple-touch-icon.png,toyota-innviertel_at_1751575044.png,success,brand-homepage:www.toyota.at | Downloaded. hash=e6d9edfd6c681a59393764221e9f41b3
decathlon.com.br,data/logos/decathlon_com_br.svg,decathlon_com_br_1751575048.svg,success,svg-inline-header | SVG inline extracted. hash=b3fe1fca089df0129863b533f584b156
bbraun.mx,https://bbraun.mx/etc.clientlibs/settings/wcm/designs/clientlibs/bbraun/bbraun.static/resources/img/logo/logo.png,bbraun_mx_1751575049.png,success,img-header-logo | Downloaded. hash=3d1793545a92821ff61585028729d6de
intersport.ch,https://www.intersport.ch/cdn/shop/t/5/assets/logo.svg?v=53740018793139427701719910489,intersport_ch_1751575051.png,success,img-header-logo | Downloaded. hash=fab5a3d7ea115984eed9b4af1d544df2
modshair-nuernberg.de,https://www.modshair-nuernberg.de/wp-content/uploads/2023/01/logo-dark.png,modshair-nuernberg_de_1751575053.png,success,img-header-logo | Downloaded. hash=35ac749c0abd69a1e05eb0a9eecb7f06
remax-pinneberg.de,http://www.remax-lueneburg.de/media/images/logo_300x300.png,remax-pinneberg_de_1751575054.png,success,og-image | Downloaded. hash=56e9ef9f78fcf3c1e8b92ca4d05c2e26
mazda-poznan-voyager.pl,https://uploads.mazdalh.eu/uploads/sites/121674/master-content-logonormal.png?lm=63040f445170d13cd9befb1d4652d492,mazda-poznan-voyager_pl_1751575055.png,success,img-header-logo | Downloaded. hash=6d1728a6145e9d7e79cab7dc186ea248
spitex-aarenord.ch,https://spitex-aarenord.ch/img/spitex2022/ch.spitex-regionaarau24/logo_de-hcC9D70F90.svg,spitex-aarenord_ch_1751575057.svg,success,img-header-logo | SVG URL downloaded. hash=ea585e1a0926a8e11d5c90aa5fb7ae4f
adra.org.rs,https://adra.org.rs/wp-content/uploads/2019/03/adra-horisontal-logo-80.png,adra_org_rs_1751575058.png,success,img-header-logo | Downloaded. hash=b2e15c40b4d5f42c2a48da1da824fe43
unicharm.co.in,,,failure,No logo URL found by any strategy
crocs.pl,https://crocs.pl/template/crocs/assets/img/logo.svg,crocs_pl_1751575076.svg,success,img-header-logo | SVG URL downloaded. hash=1fb27d099effd4c803626e5ddc96af15
nestle.do,https://nestle.do/sites/g/files/pydnoa256/files/styles/webp_image/public/2024-09/CONFITERIA_Kit-Kat_0.png.webp?itok=_DmwKKWR,nestle_do_1751575077.png,success,img-header-logo | Downloaded. hash=124189f674169177f78185ef14e5480e
servier.gr,https://servier.gr/wp-content/uploads/sites/2/2022/10/Logo_Servier.svg,servier_gr_1751575079.svg,success,img-header-logo | SVG URL downloaded. hash=f3cb49ca2c6cf5b37471bf785be0b6d1
vkf-renzel.dk,https://www.vkf-renzel.dk/out/ra-theme/img/logos/16/logo.png,vkf-renzel_dk_1751575081.png,success,img-header-logo | Downloaded. hash=a87d46956de4a0da4d5c689b0ba13b1a
gs1.org.bo,https://gs1.org.bo/images/logo-bolivia.png,gs1_org_bo_1751575084.png,success,img-header-logo | Downloaded. hash=0c387abb58c6a43d13cb4906d543f1b2
despat.com,https://despat.com/wp-content/uploads/2024/12/DESPAT-LOGO1.jpeg,despat_com_1751575086.png,success,img-header-logo | Downloaded. hash=0db3e7801b9043762126e6d190499ebe
aamcoconyersga.com,https://aamcoconyersga.com/images/MDI-logo.png,aamcoconyersga_com_1751575089.png,success,img-header-logo | Downloaded. hash=52920dc2ae8937d4b55b1cd59fb4a57f
