domain,reason,details,browser_accessible
stanbicbank.co.zw,timeout,"HTTPSConnectionPool(host='stanbicbank.co.zw', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651CF63190>, 'Connection to stanbicbank.co.zw timed out. (connect timeout=8)'))",no
astrazeneca.ua,other-http,HTTP 200,maybe
toyota-buchreiter-eisenstadt.at,dns,"HTTPSConnectionPool(host='toyota-buchreiter-eisenstadt.at', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1AAD10>: Failed to resolve 'toyota-buchreiter-eisenstadt.at' ([Errno 11001] getaddrinfo failed)""))",no
tupperware.at,other-http,HTTP 503,maybe
ymcasteuben.org,ssl,"HTTPSConnectionPool(host='ymcasteuben.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:992)')))",no
cafelasmargaritas.es,other-http,HTTP 503,maybe
affidea.ba,other-http,HTTP 200,maybe
unicharm.com.br,dns,"HTTPSConnectionPool(host='unicharm.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1B9810>: Failed to resolve 'unicharm.com.br' ([Errno 11001] getaddrinfo failed)""))",no
esseskincare.sg,blocked-bot-waf,HTTP 403 Forbidden,yes
avoncameroun.com,ssl,"HTTPSConnectionPool(host='avoncameroun.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
mazdaofamarillo.com,blocked-bot-waf,HTTP 403 Forbidden,yes
rheine.schule,other-http,HTTP 200,maybe
worldvision.ca,not-found,HTTP 404,yes
daikin.ge,connection-error,"HTTPSConnectionPool(host='daikin.ge', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002651D1C9890>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",no
crocs.co.id,other-http,HTTP 406,maybe
daikin.com.sg,dns,"HTTPSConnectionPool(host='daikin.com.sg', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1BA7D0>: Failed to resolve 'daikin.com.sg' ([Errno 11001] getaddrinfo failed)""))",no
renaultmerida.com.mx,blocked-bot-waf,Cloudflare 403,yes
allianz-kuhlemann.de,other-http,HTTP 200,maybe
veolia.fr,blocked-bot-waf,HTTP 403 Forbidden,yes
intersport-rent.fr,blocked-bot-waf,HTTP 403 Forbidden,yes
allianz-rose.info,other-http,HTTP 200,maybe
azets.ie,other-http,HTTP 200,maybe
daikin-china.com.cn,timeout,"HTTPSConnectionPool(host='daikin-china.com.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1B3090>, 'Connection to daikin-china.com.cn timed out. (connect timeout=8)'))",no
scte-prod.herokuapp.com,blocked-bot-waf,HTTP 403 Forbidden,yes
saint-gobain.ru,blocked-bot-waf,HTTP 403 Forbidden,yes
ikea.es,blocked-bot-waf,Cloudflare 403,yes
metlife.co.kr,dns,"HTTPSConnectionPool(host='metlife.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1B33D0>: Failed to resolve 'metlife.co.kr' ([Errno 11001] getaddrinfo failed)""))",no
toyotafocsani.ro,unexpected-html,200 OK but suspiciously short (75 bytes),maybe
renaultsancosme.com.mx,blocked-bot-waf,Cloudflare 403,yes
mazdalakeland.com,ssl,"HTTPSConnectionPool(host='mazdalakeland.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mazdalakeland.com'. (_ssl.c:992)"")))",no
renaulttlalnepantla.com.mx,blocked-bot-waf,Cloudflare 403,yes
aviapolska.pl,other-http,HTTP 200,maybe
allianz-assistance.ie,blocked-bot-waf,HTTP 403 Forbidden,yes
decathlon.ch,blocked-bot-waf,HTTP 403 Forbidden,yes
cdlbarreiras.com.br,other-http,HTTP 200,maybe
mcdonalds.co.za,timeout,"HTTPSConnectionPool(host='mcdonalds.co.za', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1BA110>, 'Connection to mcdonalds.co.za timed out. (connect timeout=8)'))",no
nikonschool.de,other-http,HTTP 200,maybe
toyotabacau.ro,unexpected-html,200 OK but suspiciously short (73 bytes),maybe
decathlon.hu,blocked-bot-waf,HTTP 403 Forbidden,yes
isover.se,blocked-bot-waf,HTTP 403 Forbidden,yes
mazdaoforange.com,ssl,"HTTPSConnectionPool(host='mazdaoforange.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:992)')))",no
kiamarin.com,other-http,HTTP 405,maybe
toyota-annecy.fr,connection-error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",no
pingusenglish.co.id,other-http,HTTP 200,maybe
veka.pt,ssl,"HTTPSConnectionPool(host='veka.pt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'veka.pt'. (_ssl.c:992)"")))",no
stanbicbank.co.bw,timeout,"HTTPSConnectionPool(host='stanbicbank.co.bw', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1CA390>, 'Connection to stanbicbank.co.bw timed out. (connect timeout=8)'))",no
toysrus.com.ph,other-http,HTTP 200,maybe
renaultcampeche.mx,blocked-bot-waf,Cloudflare 403,yes
kiaofdaphne.com,other-http,HTTP 405,maybe
isover.ua,blocked-bot-waf,HTTP 403 Forbidden,yes
toyota-rillieux.fr,connection-error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",no
bakertilly.sl,dns,"HTTPSConnectionPool(host='bakertilly.sl', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1CC810>: Failed to resolve 'bakertilly.sl' ([Errno 11002] getaddrinfo failed)""))",no
tupperware.es,other-http,HTTP 503,maybe
sitechsolutions.com,timeout,"HTTPSConnectionPool(host='sitechsolutions.com', port=443): Read timed out. (read timeout=8)",no
toysrus.fr,other-http,HTTP 200,maybe
mazda-krakow-kazokuluzar.pl,blocked-bot-waf,robots noindex found,yes
astrazeneca.hu,other-http,HTTP 200,maybe
toyotaortakoy.com.tr,dns,"HTTPSConnectionPool(host='toyotaortakoy.com.tr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1CF3D0>: Failed to resolve 'toyotaortakoy.com.tr' ([Errno 11001] getaddrinfo failed)""))",no
acuraofwestchester.com,blocked-bot-waf,Cloudflare 403,yes
hyundaiblacktown.com.au,other-http,HTTP 200,maybe
mercyships.dk,other-http,HTTP 200,maybe
plameco.nl,other-http,HTTP 200,maybe
allianz.com.gr,dns,"HTTPSConnectionPool(host='allianz.com.gr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1D2190>: Failed to resolve 'allianz.com.gr' ([Errno 11001] getaddrinfo failed)""))",no
bakertillymapema.se,ssl,"HTTPSConnectionPool(host='bakertillymapema.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'bakertillymapema.se'. (_ssl.c:992)"")))",no
mazdacity.com,other-http,HTTP 405,maybe
kia-kmv.ru,ssl,"HTTPSConnectionPool(host='kia-kmv.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kia-kmv.ru'. (_ssl.c:992)"")))",no
intersport.si,timeout,"HTTPSConnectionPool(host='intersport.si', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1DF710>, 'Connection to intersport.si timed out. (connect timeout=8)'))",no
tevamexico.com.mx,blocked-bot-waf,HTTP 403 Forbidden,yes
allianz-genc.de,other-http,HTTP 200,maybe
suttontools.co.nz,timeout,"HTTPSConnectionPool(host='suttontools.co.nz', port=443): Read timed out. (read timeout=8)",no
daikin.com.mm,ssl,"HTTPSConnectionPool(host='daikin.com.mm', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
mazdaofspartanburg.com,ssl,"HTTPSConnectionPool(host='mazdaofspartanburg.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mazdaofspartanburg.com'. (_ssl.c:992)"")))",no
hyundaichullora.com.au,other-http,HTTP 200,maybe
mazdafwb.com,blocked-bot-waf,Cloudflare 403,yes
saint-gobain-glass.es,blocked-bot-waf,HTTP 403 Forbidden,yes
reedglobal.bg,ssl,"HTTPSConnectionPool(host='reedglobal.bg', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:992)')))",no
orange-bissau.com,connection-error,"HTTPSConnectionPool(host='orange-bissau.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002651D1CE210>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",no
medef-somme.fr,dns,"HTTPSConnectionPool(host='medef-somme.fr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1F19D0>: Failed to resolve 'medef-somme.fr' ([Errno 11001] getaddrinfo failed)""))",no
saint-gobain-solutions.nl,unknown,Exceeded 30 redirects.,maybe
soneparfrance.fr,dns,"HTTPSConnectionPool(host='soneparfrance.fr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1B2310>: Failed to resolve 'soneparfrance.fr' ([Errno 11001] getaddrinfo failed)""))",no
savethechildren.org.za,other-http,HTTP 200,maybe
vans.com.ar,ssl,"HTTPSConnectionPool(host='vans.com.ar', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
mazdaofpottstown.com,ssl,"HTTPSConnectionPool(host='mazdaofpottstown.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mazdaofpottstown.com'. (_ssl.c:992)"")))",no
isover.com.br,blocked-bot-waf,HTTP 403 Forbidden,yes
alcirclebiz.com,timeout,"HTTPConnectionPool(host='www.alcirclebiz.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002651D1D9490>, 'Connection to www.alcirclebiz.com timed out. (connect timeout=8)'))",no
