group_id,domains
1,263.net.cn
2,aamcoanaheim.net;aamcotulsa-memorial.com
3,aamcoelpaso-east.com;aamcoutah.com;aamcowintervillenc.com;aamcoindependencemo.com;aamcoseguin.com
4,aamcooflascruces.com
5,aamcotracyca.com
6,abc-autoglas.de
7,abilways.be
8,accelltherapy.com.au
9,acetoolonline.com
10,actemium.ch;actemium.co.uk;actemium.de;actemium.nl;actemium.pt;actemium.sk
11,actemium.es
12,actemium.se
13,actemium.us
14,acuraofgainesville.com
15,acurasouthpoint.com
16,adeccogroupfoundationus;adeccogroupfoundationus.org
17,adecco.com.sg;duracell-me.com;duracell.co.za;duracell.com.tr;duracell.es;duracell.fr;duracell.in;duracell.it;duracell.pl;sealy.co.kr;secureparkingusa.com;adecco.co.th;adecco.de;eccreditcontrol.com.au;seqens.fi;logmaxbr.com.br;adra.sk;luminishealthcareers.org;edf-re.com.au;lyspoland.pl;africell.ao;engie-ecserwis.pl;engieresources.com;engieservices.us;engie.de;engie.de;engie.pt;mazdaofpoughkeepsie.com;toysrus.pt;esseskincare.fi;esseskincare.hk;esseskincare.no;esseskincare.se;eurochem-na.com;aliaxis-me.com;aliaxis.be;aliaxis.bg;aliaxis.cz;aliaxis.gr;aliaxis.hu;aliaxis.it;aliaxis.pl;tridentseafoods.jp;whirlpool-bangladesh.com;papajohns.co.nl;allianz.ma;exertisztorm.com;faacentrancesolutions.be;faesfarma.com.co;medicover.de;amphenolaudio.com;menschenfuermenschen.at;mercyships.org.au;mercyships.se;misterwhat.nl;fronticsamerica.com;furuno.gr;garminstore.com;garminstore.com.br;genan.com;avia.nl;babgencel.de;bakertilly-ca.com;svnchicagopm.com;bakertillymlt.se;bakertillysek.se;svncredit.ro;bakertilly.com.ve;bakertilly.ec;bakertilly.fr;bakertilly.lk;bakertilly.uy;telehouse.co.th;habitatcoosavalley.org;besins-healthcare.nl;besins-healthcare.se;habitatns.ca;habitatstl.org;habitatvietnam.org;nextbikeczech.com;toolstationjobs.nl;hawaiifamilydentalcareers.com;toyota-niederberger.at;toyotacomauto.com;blackroll.com.pl;honda-angouleme.com;honda-bordeaux.com;bonprix;bonprix.jobs;honda-caen.com;honda-cannes.com;honda-chateauroux.com;honda-dijon.com;honda-grenoble.com;honda-larochelle.com;honda-lemans.com;honda-lille.com;honda-limoges.com;honda-lorient.com;honda-marseille.com;honda-meaux.com;honda-melun.com;honda-metz.com;honda-montpellier.com;brother-industrial.md;brother-slovakia.sk;brother.co.il;honda-mulhouse.com;honda-pirola.com;honda-reims.com;honda-rennes.com;honda-rouen.com;honda-saint-maur.com;honda-strasbourg.com;honda-toulouse.com;honda-villebon.com;hondasevilla.net;howdenagents.gr;howdengroupholdings.com;howdensafetysolutions.com;unglobalcompact.ca;hyrox.es;peugeot.sk;hyundaigatineau.ca;hyundai.ge;cargoriga.ee;indianmotorcyclesturgis.com;infiniti-abudhabi.com;infiniti-azerbaijan.com;infiniti-bahrain.com;infiniti-dubai.com;infiniti-jordan.com;infiniti.com.do;infiniti.com.pa;infiniti.mx;inhuntworld.com;cfmoto-larissa.gr;cfmotobenelux.eu;cfmotoitaly.it;cfmoto.com.tr;victorsport.com.tw;vitalsauna.eu;vivaconagua.at;vivaconagua.org.za;weidner.ca;whatsonsaudiarabia.com;whirlpool-bangladesh;jetfriorefrigeracao.com.br;reallifeconcepts.co.za;reedglobal.ae;reedglobal.ch;reedglobal.com.mt;reedglobal.cz;reedglobal.hu;reedglobal.pl;crocs;crocs.cl;job-impulse.hu;johcm-ukconference.com;reedglobal.sg;williamblairfunds.com;ctdi.in;remax.fi;renault-argenteuil.fr;worldvision.cl;renault-fama.be;renault-materom.ro;renault-tessenderlo.be;kamic.fi;renaultbank.es;kawasaki-seufert.de;kia-ci.com;renaultsanzhispano.es;kia-gorny-eislingen.de;wwf.at;kia-moeller-wunstorf.de;kia-mouscron.be;kiacadca.sk;renaulttersa.com.mx;renaultvercammen.be;kiamotors.com.co;kiaonline.dk;kiaspringfield.co;kiaspringfield.co.za;kia.co.sz;roca.co.th;decathlon.cz;komoder.md;laborelec.com;lamborghini-berlin.com;lamborghini-cannes.com;lamborghini-paris.com;lamborghinimontreal.com
18,adecco.com.vn
19,adfc-radtourismus.de
20,adlatus-nordwestschweiz.ch
21,adra.ca;adra.nl;adra.org.pe;adra.org.pt;adra.org.rs;adra.se
22,adra.pl
23,advantisengineering.com
24,advocarenewbornnetwork.com
25,aeccglobal.com.bd;aeccglobal.co.id
26,affidea.ba;affidea.pt;affidea.ro
27,affidea.lt
28,affidea.pl
29,affinitynonprofits.com
30,aiesec.gr
