domain,status,strategy,filename,hash,error
stanbicbank.co.zw,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://stanbicbank.co.zw/"", waiting until ""load""
"
astrazeneca.ua,fail,,,,"APIRequestContext.get: getaddrinfo ENOTFOUND www.astrazeneca.uaetc
Call log:
  - → GET https://astrazeneca.ua/etc/designs/az/img/logo-az-condensed.png
    - user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64)
    - accept: */*
    - accept-encoding: gzip,deflate,br
    - cookie: AWSALB=FJyZGkw2fEK1vajYpq9sh6KZx48wbiudFj5ogoxOgvtk5wwv9EfB945jHHic4uQGF+YpjQqMCKDBWAvF3tjqj1DX6ddREd/0WurOzsJ2K2Ab7vW6ebD+DiJqVj4P; AWSALBCORS=FJyZGkw2fEK1vajYpq9sh6KZx48wbiudFj5ogoxOgvtk5wwv9EfB945jHHic4uQGF+YpjQqMCKDBWAvF3tjqj1DX6ddREd/0WurOzsJ2K2Ab7vW6ebD+DiJqVj4P; utag_main=v_id:0197e07047a30008d44a32f3d23700029001b021007e8$_sn:1$_se:1$_ss:1$_st:1751818944232$ses_id:1751817144232%3Bexp-session$_pn:1%3Bexp-session$vapi_domain:astrazeneca.ua; AMCVS_F8AB34FA53CE7E830A490D44%40AdobeOrg=1; AMCV_F8AB34FA53CE7E830A490D44%40AdobeOrg=870038026%7CMCIDTS%7C20276%7CMCMID%7C71072343769936749010789891133613435000%7CMCAAMLH-1752421944%7C6%7CMCAAMB-1752421944%7C6G1ynYcLPuiQxYZrsz_pkqfLG9yMXBpb2zX5dvJdYQJzPXImdj0y%7CMCOPTOUT-1751824344s%7CNONE%7CMCAID%7CNONE%7CMCSYNCSOP%7C411-20283%7CvVersion%7C5.0.0; s_getNewRepeat=1751817144880-New; s_vnum=1753995600907%26vn%3D1; s_invisit=true; s_getDaysSinceLastVisit=1751817144909; s_getDaysSinceLastVisit_s=First%20Visit; gpv_pn=az-ua; s_tp=1579; s_ppv=az-ua%2C46%2C46%2C720; s_plt=1.73; s_pltp=az-ua; s_cc=true
  - ← 301 Moved Permanently
    - date: Sun, 06 Jul 2025 15:52:25 GMT
    - content-type: text/html; charset=iso-8859-1
    - content-length: 274
    - connection: keep-alive
    - set-cookie: AWSALB=Q6yO2r1gwHyGubwbdGu/29gUrN2O7qnPUqbi9W0eCGzTobbwyPX0cr0mYBv4zA3pRBtjEWrTmP8Yqr54Mq2KsIFwEwJt3km3vutkpqT6ieUh8AYuiQ8hQJHqzw+7; Expires=Sun, 13 Jul 2025 15:52:25 GMT; Path=/,AWSALBCORS=Q6yO2r1gwHyGubwbdGu/29gUrN2O7qnPUqbi9W0eCGzTobbwyPX0cr0mYBv4zA3pRBtjEWrTmP8Yqr54Mq2KsIFwEwJt3km3vutkpqT6ieUh8AYuiQ8hQJHqzw+7; Expires=Sun, 13 Jul 2025 15:52:25 GMT; Path=/; SameSite=None; Secure
    - server: Apache
    - location: https://www.astrazeneca.uaetc/designs/az/img/logo-az-condensed.png
  - → GET https://www.astrazeneca.uaetc/designs/az/img/logo-az-condensed.png
    - user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64)
    - accept: */*
    - accept-encoding: gzip,deflate,br
"
toyota-buchreiter-eisenstadt.at,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://toyota-buchreiter-eisenstadt.at/
Call log:
  - navigating to ""https://toyota-buchreiter-eisenstadt.at/"", waiting until ""load""
"
tupperware.at,fail,,,,No logo found
ymcasteuben.org,fail,,,,"Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https://ymcasteuben.org/
Call log:
  - navigating to ""https://ymcasteuben.org/"", waiting until ""load""
"
cafelasmargaritas.es,success,img-or-favicon,cafelasmargaritas.es_0556af51d2142cc56cd0a50c926cd553.avif,0556af51d2142cc56cd0a50c926cd553,
affidea.ba,success,img-or-favicon,affidea.ba_43a66381315c64ee11afaa61505ef55e.svg,43a66381315c64ee11afaa61505ef55e,
unicharm.com.br,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://unicharm.com.br/
Call log:
  - navigating to ""https://unicharm.com.br/"", waiting until ""load""
"
esseskincare.sg,fail,,,,No logo found
avoncameroun.com,fail,,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://avoncameroun.com/
Call log:
  - navigating to ""https://avoncameroun.com/"", waiting until ""load""
"
mazdaofamarillo.com,fail,,,,No logo found
rheine.schule,success,img-or-favicon,rheine.schule_0eb09320b5dc3baa36c51e298329b581.jpg,0eb09320b5dc3baa36c51e298329b581,
worldvision.ca,fail,,,,Image fetch failed
daikin.ge,fail,,,,"Page.goto: net::ERR_CONNECTION_REFUSED at https://daikin.ge/
Call log:
  - navigating to ""https://daikin.ge/"", waiting until ""load""
"
crocs.co.id,fail,,,,No logo found
daikin.com.sg,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://daikin.com.sg/
Call log:
  - navigating to ""https://daikin.com.sg/"", waiting until ""load""
"
renaultmerida.com.mx,success,inline-svg,renaultmerida.com.mx_016061f67428406b1af60acf56ab8a9f.svg,016061f67428406b1af60acf56ab8a9f,
allianz-kuhlemann.de,fail,,,,"APIRequestContext.get: Protocol ""data:"" not supported. Expected ""http:"""
veolia.fr,fail,,,,No logo found
intersport-rent.fr,fail,,,,No logo found
allianz-rose.info,fail,,,,"APIRequestContext.get: Protocol ""data:"" not supported. Expected ""http:"""
azets.ie,fail,,,,Image fetch failed
daikin-china.com.cn,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://daikin-china.com.cn/"", waiting until ""load""
"
scte-prod.herokuapp.com,fail,,,,No logo found
saint-gobain.ru,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://saint-gobain.ru/"", waiting until ""load""
"
ikea.es,success,img-or-favicon,ikea.es_778440488b03ed52874cc6b30ce8cf45.svg,778440488b03ed52874cc6b30ce8cf45,
metlife.co.kr,fail,,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://metlife.co.kr/
Call log:
  - navigating to ""https://metlife.co.kr/"", waiting until ""load""
"
toyotafocsani.ro,success,img-or-favicon,toyotafocsani.ro_f3ca8c8cf641f7d38bc4972a64fe88dd.png,f3ca8c8cf641f7d38bc4972a64fe88dd,
renaultsancosme.com.mx,success,inline-svg,renaultsancosme.com.mx_016061f67428406b1af60acf56ab8a9f.svg,016061f67428406b1af60acf56ab8a9f,
mazdalakeland.com,fail,,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://mazdalakeland.com/
Call log:
  - navigating to ""https://mazdalakeland.com/"", waiting until ""load""
"
renaulttlalnepantla.com.mx,success,inline-svg,renaulttlalnepantla.com.mx_016061f67428406b1af60acf56ab8a9f.svg,016061f67428406b1af60acf56ab8a9f,
aviapolska.pl,fail,,,,No logo found
allianz-assistance.ie,fail,,,,Image fetch failed
decathlon.ch,success,img-or-favicon,decathlon.ch_d3fb14581de45bccb17b5f6129bbb101.png,d3fb14581de45bccb17b5f6129bbb101,
cdlbarreiras.com.br,success,img-or-favicon,cdlbarreiras.com.br_b5e621f21093cca3be2a43888dfbbe0a.png,b5e621f21093cca3be2a43888dfbbe0a,
mcdonalds.co.za,fail,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://mcdonalds.co.za/"", waiting until ""load""
"
nikonschool.de,fail,,,,"APIRequestContext.get: Protocol ""data:"" not supported. Expected ""http:"""
