filename,type,result,error
adeccome_com_1751729638.png,not_found,,File missing!
adecco_cl_1751727756.png,not_found,,File missing!
adecco_ie_1751731906.png,not_found,,File missing!
adecco_rs_1751728990.png,not_found,,File missing!
adra_fr.svg,svg,patched,
allianzim_com.svg,svg,xml_error,"unbound prefix: line 7, column 0"
allianzim_com_1751736565.svg,svg,xml_error,"unbound prefix: line 7, column 0"
altenusa_com.svg,svg,patched,
altenusa_com_1751730241.svg,svg,patched,
ardex_at.svg,svg,patched,
ardex_at_1751729286.svg,svg,patched,
ardex_com_tw.svg,svg,patched,
ardex_com_tw_1751729552.svg,svg,patched,
axa_be_1751736141.png,not_found,,File missing!
azetsconsulting_no_1751733604.svg,svg,xml_error,"no element found: line 1, column 0"
azets_ie_1751728252.svg,svg,xml_error,"no element found: line 1, column 0"
bakertillyeg_com.svg,svg,patched,
bakertillygh_com.svg,svg,patched,
bakertillylb.com_83d467bdb27ef0d3419e0f1fffe08077.svg,svg,patched,
bakertillymapema.se_83d467bdb27ef0d3419e0f1fffe08077.svg,svg,patched,
bakertilly_ci.svg,svg,patched,
bakertilly_ci_1751728225.svg,svg,patched,
bakertilly_cl.svg,svg,patched,
bakertilly_cl_1751729740.svg,svg,patched,
bakertilly_com_jm.svg,svg,patched,
bakertilly_dk.svg,svg,patched,
bakertilly_es.svg,svg,patched,
bakertilly_gi.svg,svg,patched,
bakertilly_gt.svg,svg,patched,
bakertilly_it.svg,svg,patched,
bakertilly_ky.svg,svg,patched,
bakertilly_lu.svg,svg,patched,
bakertilly_lu_1751727647.svg,svg,patched,
bakertilly_lv.svg,svg,patched,
bakertilly_ma.svg,svg,patched,
bakertilly_mu.svg,svg,patched,
bakertilly_ng.svg,svg,patched,
bakertilly_no.svg,svg,patched,
bakertilly_pt.svg,svg,patched,
bakertilly_se.svg,svg,patched,
bakertilly_sg.svg,svg,patched,
bakertilly_site.svg,svg,patched,
bakertilly_vg.svg,svg,patched,
benefitsystems_hr.svg,svg,patched,
benefitsystems_hr_1751731841.svg,svg,patched,
benlomondinc_com.svg,svg,patched,
benlomondinc_com_1751735492.svg,svg,patched,
bimedacanada_com.svg,svg,patched,
bimedacanada_com_1751732677.svg,svg,patched,
bimedasuramerica_com.svg,svg,patched,
bimedaus_com.svg,svg,patched,
